id,txn,s1,s1_days,s2,s2_days,f1,f1_Dur,f2,f2_values,f3,f4,f5,f6,gender,DOB
81,20,244,30,244,30,56,424,25,10587,81,53,111,194,male,1951-10-10
82,1,30,9,30,9,48,803,30,16371,136,123,186,236,male,1963-04-06
83,13,66,19,66,19,NULL,NULL,21,10685,61,19,159,189,male,1976-02-23
84,1,153,12,105,10,3,3,4,4526,8,3,3,6,male,1992-02-26
85,5,86,23,86,23,13,132,23,6936,19,2,3,22,male,1977-08-06
86,5,47,20,47,20,1,11,,,2,0,3,12,male,1988-12-29
87,5,148,16,109,16,2,1,,,132,0,2,12,male,1996-10-07
88,3,69,6,63,6,5,35,5,6929,9,8,8,32,male,1976-08-04
89,8,81,28,81,28,47,879,29,10882,207,156,188,89,male,1954-09-22
90,2,62,16,11,7,1,0,17,5075,0,5,52,3,male,1988-11-23
91,3,110,21,89,21,44,241,29,4190,55,33,39,94,male,1979-03-22
92,2,71,22,71,22,4,14,29,9528,78,0,96,177,male,1974-07-01
93,8,209,24,209,24,22,52,9,7555,54,11,43,27,male,1987-05-29
94,17,290,29,273,29,36,261,25,1130,76,10,150,69,female,1972-06-29
95,3,148,27,148,27,4,60,27,9836,51,27,3,30,male,1979-11-02
96,3,97,25,97,25,NULL,NULL,30,3566,209,0,83,29,male,1952-07-10
97,4,122,25,48,17,43,663,26,6188,65,1,1,66,male,1983-09-14
98,4,334,27,320,27,7,21,16,6145,17,8,19,15,male,1989-04-25
99,16,209,25,209,25,1,0,,,558,64,37,70,male,1977-06-16
100,11,465,30,465,30,22,213,30,5744,7,3,7,28,male,1960-09-08
101,3,61,23,61,23,34,121,21,11406,280,29,8,176,male,1974-10-07
102,2,47,9,47,9,NULL,NULL,17,3739,139,1,253,53,female,1979-08-23
103,3,165,29,46,21,1,2,26,7988,70,4,17,50,male,1992-07-12
104,6,80,22,60,22,24,60,16,6189,12,15,22,3,male,1982-03-18
105,6,218,27,207,27,18,12,11,13776,14,1,33,25,male,1978-07-28
106,2,55,13,55,13,5,7,25,5715,0,1,1,0,male,1990-01-30
107,4,70,17,70,17,5,50,19,8788,57,12,11,39,male,1986-08-25
108,2,229,28,159,24,2,23,30,5676,42,7,24,38,male,1983-04-05
109,1,85,13,85,13,4,2,13,8178,48,6,7,18,female,1992-02-01
110,3,102,13,80,13,20,72,15,3662,18,6,1,16,male,1990-12-19
111,2,32,8,21,8,41,166,23,12545,123,16,50,123,male,1973-08-10
112,5,50,14,50,14,12,123,16,8788,4,1,1,34,male,1968-07-04
113,1,79,27,16,9,59,441,30,6831,28,55,102,40,male,1978-05-29
114,6,108,28,99,28,12,152,16,7484,0,27,130,28,male,1992-10-13
115,1,31,18,28,18,1,0,,,0,9,36,0,female,1978-01-22
116,1,93,9,81,9,NULL,NULL,18,9192,21,2,3,32,male,1985-12-12
117,2,223,24,223,24,18,73,28,15084,65,28,38,58,male,1984-07-21
118,8,76,20,76,20,42,155,26,11757,65,5,38,115,male,1973-05-01
119,1,124,18,124,18,58,514,27,22517,74,116,61,113,male,1953-03-01
120,4,58,12,58,12,NULL,NULL,29,14037,82,46,3,76,male,1975-06-03
121,6,360,30,222,27,48,291,26,12801,0,22,34,21,male,1985-10-12
122,2,40,16,40,16,6,3,10,12688,12,5,18,22,male,1979-01-15
123,3,137,22,137,22,20,465,24,9273,26,2,2,62,male,1981-01-01
124,3,35,14,35,14,45,478,25,9026,104,35,99,172,female,1967-02-28
125,7,168,28,168,28,70,307,29,15318,117,56,70,87,male,1982-01-01
126,1,52,27,13,8,3,0,28,13709,640,89,122,91,male,1980-02-05
127,5,43,16,43,16,5,25,18,20358,439,7,2,93,female,1976-04-09
128,1,26,9,26,9,58,424,30,11925,9,43,61,26,male,1965-04-27
129,14,134,24,57,20,NULL,NULL,,,56,26,74,7,male,1959-09-15
130,5,168,9,154,9,24,262,7,4906,50,16,23,9,male,1987-11-16
131,1,38,10,15,9,1,0,26,5150,46,0,136,74,female,1960-08-26
132,4,68,23,68,23,156,2173,28,17893,411,113,122,84,male,1976-12-30
133,6,47,19,45,18,14,143,10,2638,7,8,42,11,male,1988-12-14
134,7,340,29,322,29,60,536,23,6303,325,29,181,87,male,1991-11-24
135,2,114,19,114,19,2,29,,,4,2,3,0,male,1980-03-30
136,3,57,15,51,15,6,5,19,7093,23,0,72,52,female,1976-10-02
137,7,449,29,436,29,11,20,6,7157,72,4,12,12,male,1975-11-18
138,4,190,30,58,19,44,191,22,11453,7,4,1,83,male,1979-01-02
139,2,65,17,54,15,123,1398,25,11731,202,48,157,274,female,1988-03-24
140,4,144,28,82,21,115,1130,27,7853,59,60,53,94,male,1967-12-22
141,4,71,16,71,16,74,852,23,8874,119,52,140,85,female,1974-03-15
142,1,83,16,66,16,3,39,16,2429,0,1,1,0,male,1998-01-25
143,3,69,21,62,21,51,491,26,6631,121,43,65,86,male,1994-08-13
144,1,59,20,45,20,12,67,26,4329,12,0,8,124,male,1978-05-19
145,7,95,25,87,25,NULL,NULL,,,1,0,1,0,male,1986-11-08
146,1,50,18,48,18,38,662,25,20189,174,107,78,141,male,1977-07-21
147,1,30,12,15,9,NULL,NULL,25,18467,121,155,152,78,male,1961-06-14
148,4,97,21,92,21,12,298,25,7149,338,25,108,47,male,1965-01-14
149,1,34,6,5,5,9,23,1,19,1,0,36,0,female,1992-03-19
150,1,29,10,20,9,2,5,22,9765,122,0,8,233,female,1999-04-07
151,4,55,16,55,16,39,758,30,16451,95,104,30,89,male,1963-06-05
152,2,43,16,43,16,NULL,NULL,16,3459,71,1,68,105,male,1979-05-22
153,5,87,14,63,14,4,48,18,7617,9,3,4,27,male,1980-03-02
154,1,47,9,40,9,6,62,16,1707,33,0,35,12,female,1989-10-15
155,7,209,28,187,28,120,504,,,23,7,3,5,male,1978-04-15
156,11,832,29,832,29,28,272,22,3570,95,6,44,121,male,1988-10-09
157,1,44,16,41,16,83,50,23,8766,66,5,43,154,male,1984-09-25
158,1,188,25,185,25,80,336,21,8215,161,22,84,154,male,1975-12-21
159,1,39,22,39,22,80,642,29,5425,163,48,63,71,female,1985-05-31
160,2,32,15,30,15,22,116,24,11539,3,5,11,32,male,1986-10-18
161,5,33,15,33,15,5,26,26,7488,35,32,150,82,male,1963-08-12
162,6,60,17,60,17,3,60,10,7753,78,0,4,181,male,1979-09-11
163,1,130,24,63,15,45,389,27,24780,0,183,351,32,male,1966-06-09
164,2,207,29,190,29,46,598,25,6969,0,22,72,25,male,1975-12-21
165,11,79,13,79,13,NULL,NULL,26,6227,9,3,24,5,male,1969-01-04
166,9,329,30,323,30,28,120,22,8487,0,36,34,75,male,1967-05-30
167,1,96,22,96,22,118,1349,27,17910,508,106,62,96,male,1977-07-30
168,1,86,17,86,17,52,351,29,6965,90,56,155,160,male,1965-04-01
169,2,56,19,56,19,2,34,26,7036,188,47,59,76,male,1971-03-16
170,7,202,22,111,22,1,0,30,15511,141,91,1,120,male,1956-03-18
171,7,214,21,195,21,2,0,19,5956,127,2,1,28,male,2006-01-09
172,1,48,10,44,10,74,915,29,9893,464,39,149,88,male,1988-10-20
173,3,47,8,43,7,43,614,29,9997,90,57,59,72,male,1965-11-12
174,1,65,10,45,10,1,0,,,1,1,2,2,male,2000-07-09
175,12,74,23,74,23,3,26,23,10938,136,1,9,213,male,1982-06-01
176,1,27,7,12,4,8,92,,,0,4,20,0,female,1980-05-06
177,2,64,14,64,14,12,37,11,5065,12,12,8,9,male,1988-05-17
178,6,78,13,78,13,95,1344,5,3382,0,30,7,3,female,1965-10-18
179,1,34,7,21,7,25,327,28,21195,90,95,238,172,female,1974-08-11
180,1,27,11,27,11,16,198,25,10762,24,1,1,31,male,1995-09-11
181,3,162,28,134,28,4,2,,,14,0,1,4,male,1987-06-09
182,8,155,25,155,25,2,1,20,17907,75,0,81,99,male,1966-01-24
183,2,33,9,33,9,1,53,12,9529,31,20,4,69,female,1982-08-03
184,9,560,30,279,23,4,0,7,2564,51,14,26,6,male,1986-01-18
185,5,150,17,135,17,21,26,,,30,1,4,8,female,1978-04-15
186,6,164,21,164,21,40,84,,,63,4,7,73,male,1971-05-31
187,6,48,17,48,17,2,13,23,10239,109,30,8,139,male,1981-10-07
188,1,72,20,66,20,5,61,20,4187,1,0,8,8,male,1976-11-23
189,8,61,22,61,22,16,86,28,10379,77,50,84,73,male,1969-12-08
190,3,110,26,103,26,130,653,30,14785,129,53,110,148,male,1975-02-10
191,6,218,27,218,27,28,13,,,210,0,1,35,male,1987-09-17
192,3,280,26,243,26,106,310,28,16629,257,38,60,100,male,1979-07-13
193,3,101,26,95,26,1,1,24,5421,152,0,18,80,male,1962-03-27
194,2,50,19,50,19,NULL,NULL,,,0,3,2,0,male,1986-12-10
195,3,67,16,58,16,17,117,5,3976,7,2,2,12,male,1985-04-24
196,4,158,26,154,26,53,354,27,6281,73,60,59,111,male,1969-11-17
197,5,61,18,61,18,39,616,24,12429,502,32,84,122,male,1991-08-26
198,3,359,30,223,27,16,24,,,0,9,9,0,male,1976-02-10
199,14,418,28,410,28,36,404,28,7129,61,48,126,119,male,1990-06-14
200,7,145,27,145,27,36,616,25,3033,1,17,3,2,male,1981-02-05
201,12,491,29,431,29,59,473,25,20219,65,50,63,123,male,1973-05-31
202,7,301,20,301,20,5,11,27,13098,81,35,21,61,male,1982-01-07
203,3,264,30,105,25,4,21,24,7075,55,25,14,57,female,1964-03-04
204,1,58,13,58,13,13,51,12,1544,21,3,6,20,male,1982-06-02
205,4,284,26,284,26,57,340,26,3302,120,6,3,40,male,2005-11-23
206,4,60,13,60,13,1,1,24,12019,0,7,2,14,male,1973-08-06
207,6,97,21,97,21,NULL,NULL,26,14858,383,1,1,82,male,1979-10-14
208,11,295,30,128,24,NULL,NULL,21,1669,2,10,13,2,female,1968-01-15
209,1,74,17,72,17,8,8,26,3414,92,31,78,29,female,1986-02-13
210,1,80,17,80,17,NULL,NULL,25,15504,0,2,2,31,male,1978-03-27
211,2,55,17,55,17,NULL,NULL,,,20,0,11,10,male,1951-08-05
212,12,134,23,134,23,115,1404,22,12968,91,120,120,78,male,1970-11-07
213,6,169,23,158,23,10,10,20,4809,33,4,21,16,male,1985-09-08
214,1,72,17,69,17,2,4,18,426,44,16,40,19,male,1993-02-22
215,3,107,13,105,13,7,14,16,4102,12,6,5,11,male,1969-05-18
216,9,230,28,230,28,49,799,29,20742,126,44,168,90,male,1985-07-09
217,2,30,6,23,6,1,0,21,2987,34,0,1,1,male,2006-04-02
218,1,68,23,68,23,73,324,30,4531,32,31,76,47,female,1990-01-01
219,1,33,10,26,10,11,128,14,6174,41,13,14,18,male,1963-02-28
220,1,204,24,201,24,NULL,NULL,,,0,1,1,0,male,1994-02-24
221,2,39,18,39,18,36,194,23,11502,122,31,60,81,male,1966-06-06
222,1,177,26,177,26,28,15,23,2693,21,16,60,35,male,1970-03-31
223,1,28,9,13,6,4,3,28,4226,4,11,1,23,male,1977-01-29
224,3,153,26,142,25,NULL,NULL,27,11106,13,0,2,22,male,1982-09-15
225,1,66,21,66,21,24,243,21,11685,351,47,65,71,female,1979-08-22
226,8,169,28,169,28,1,1,29,10473,146,125,130,120,male,1962-06-18
227,3,59,17,59,17,24,72,26,9951,49,19,19,38,male,1983-05-18
228,5,590,27,363,27,NULL,NULL,1,255,2,0,1,0,female,1452-12-24
229,5,239,30,78,18,97,719,30,10940,76,75,53,89,female,1966-06-13
230,3,107,27,97,27,28,73,9,5850,107,21,80,126,male,1976-10-15
231,3,230,28,200,28,25,131,24,6872,316,39,71,56,male,1991-12-17
232,3,227,24,191,24,120,917,23,9955,60,130,118,105,male,1973-04-12
233,2,98,18,61,12,63,429,29,17800,19,50,60,56,male,1981-10-19
234,3,105,24,96,24,37,341,25,7390,121,43,81,114,male,1987-03-29
235,10,222,28,107,22,18,229,25,2272,61,11,13,24,male,1983-10-23
236,6,171,30,47,19,NULL,NULL,,,69,88,70,15,male,1956-09-29
237,4,165,15,139,15,1,0,,,40,4,26,9,female,0000-00-00
238,5,143,22,113,21,NULL,NULL,21,8497,89,56,81,117,male,1969-05-28
239,5,201,25,121,25,1,1,23,5635,38,2,3,11,male,2001-03-16
240,6,207,26,167,26,1,0,,,118,11,133,40,male,1994-02-03
241,2,83,4,44,4,27,341,27,8246,75,43,58,13,male,1977-03-06
242,4,66,18,66,18,41,794,23,6188,314,210,66,85,male,1962-05-30
243,3,71,9,71,9,113,842,28,19054,0,65,81,29,male,1979-01-16
244,13,507,30,507,30,9,4,24,19789,269,0,2,88,male,1966-02-08
245,1,137,27,124,27,10,54,23,817,158,30,47,47,male,2001-10-01
246,1,43,4,10,4,3,7,4,9311,8,1,12,12,female,1969-09-18
247,6,124,26,76,19,NULL,NULL,22,2512,20,0,3,38,male,1994-09-21
248,14,60,18,60,18,3,26,20,4337,71,6,43,82,male,1970-08-05
249,3,69,9,60,9,NULL,NULL,12,5161,12,9,17,25,male,1954-07-20
250,2,36,9,36,9,NULL,NULL,2,1159,45,4,6,62,male,1983-05-30
251,1,102,10,88,10,1,2,,,26,2,1,13,male,1994-06-11
252,1,55,19,24,15,49,741,30,11171,113,55,72,90,male,1983-05-02
253,2,54,16,54,16,1,0,30,3317,113,31,74,89,male,1973-12-28
254,1,91,24,89,24,NULL,NULL,15,153,88,1,2,5,male,1993-02-05
255,1,63,20,63,20,2,47,20,5767,56,0,3,62,male,1973-03-08
256,2,66,9,66,9,18,23,16,2495,64,2,1,60,male,1951-10-08
257,1,43,16,43,16,51,345,27,7032,110,37,61,91,male,1983-10-24
258,7,150,23,150,23,1,0,,,10,19,22,25,male,1983-08-09
259,2,81,19,75,19,5,13,,,120,0,6,10,female,1994-01-04
260,4,276,30,86,25,NULL,NULL,22,10308,72,0,1,90,male,1992-01-01
261,2,277,29,275,29,1,0,25,17848,199,30,58,118,male,1993-01-06
262,5,41,13,41,13,69,484,27,7004,341,51,61,109,male,1985-06-08
263,1,43,8,37,8,13,23,21,3422,24,13,35,10,female,1974-12-21
264,8,107,21,93,21,10,63,28,1663,56,4,3,19,male,1988-10-20
265,6,221,24,180,23,NULL,NULL,,,97,1,5,18,male,1998-03-15
266,1,63,14,59,14,6,28,19,2696,55,5,3,48,male,1979-12-16
267,5,99,18,67,17,3,4,5,2526,2,3,7,2,male,1993-09-19
268,11,246,29,62,17,NULL,NULL,,,28,2,1,7,male,1989-10-16
269,1,177,19,177,19,NULL,NULL,27,15877,134,19,32,67,female,1996-07-13
270,6,74,21,61,21,NULL,NULL,24,2574,210,3,12,59,male,1991-06-19
271,9,104,23,72,20,NULL,NULL,27,14543,30,825,69,88,male,1974-02-17
272,4,47,16,47,16,12,32,,,30,198,56,90,female,1975-03-01
273,10,264,25,239,25,23,332,24,7061,14,4,11,27,female,1968-10-02
274,1,295,17,283,17,NULL,NULL,,,285,1,1,21,male,1993-09-30
275,4,145,24,118,24,65,601,30,12388,33,47,66,119,male,1987-07-21
276,3,176,20,143,20,NULL,NULL,,,20,0,3,6,,0000-00-00
277,2,52,16,52,16,1,0,,,31,11,30,3,male,1982-02-15
278,3,140,22,131,22,8,31,20,3496,0,3,6,7,male,1959-11-11
279,2,143,26,142,25,46,316,25,1877,0,2,1,0,male,1997-08-27
280,8,219,26,218,26,1,0,26,6624,206,1,135,76,male,1970-05-17
281,2,32,16,32,16,10,1,29,17450,91,240,185,90,female,1982-10-20
282,2,133,24,128,23,26,328,27,16428,118,23,86,86,male,1987-07-15
283,3,39,10,39,10,NULL,NULL,,,12,1,2,9,female,1963-01-14
284,3,92,24,92,24,NULL,NULL,,,94,0,45,81,male,1984-08-21
285,1,58,9,43,9,42,311,25,15915,81,30,59,199,female,1984-09-07
286,16,990,30,971,30,6,3,,,94,13,39,21,female,1976-08-11
287,1,326,25,314,25,57,836,29,11185,29,58,111,114,female,1962-05-11
288,1,51,9,51,9,NULL,NULL,18,12683,5,21,1,32,male,1982-06-25
289,2,58,13,58,13,NULL,NULL,28,11433,131,8,16,119,male,1973-08-07
290,4,79,17,79,17,41,684,22,8494,244,45,70,101,male,1977-10-20
291,9,100,21,100,21,70,597,30,9332,32,30,66,150,male,1984-10-30
292,1,50,10,50,10,5,1,8,2168,81,12,2,15,male,1983-01-24
293,1,65,15,57,14,34,398,24,6656,70,32,92,79,male,1990-08-04
294,1,102,21,102,21,63,444,23,3511,26,30,44,5,male,1991-10-15
295,3,99,27,96,27,NULL,NULL,23,1217,90,6,1,82,male,1974-09-30
296,7,136,21,136,21,23,45,14,3850,130,0,1,60,female,1973-04-11
297,7,38,7,38,7,1,0,,,4,1,1,19,female,1990-11-06
298,3,56,8,56,8,80,181,11,8354,44,11,25,65,male,1982-07-22
299,3,60,16,51,16,38,549,29,20486,112,52,62,121,male,1955-11-01
300,4,347,27,293,27,NULL,NULL,2,1237,34,0,1,48,male,1996-01-21
301,2,76,5,67,5,1,0,14,6566,108,5,75,30,female,1984-03-30
302,20,670,30,254,28,33,217,29,4433,272,75,42,51,male,1969-12-11
303,8,59,14,59,14,59,582,28,15601,206,205,520,82,male,1978-10-01
304,1,28,12,28,12,19,219,26,7984,46,33,156,211,male,1985-02-09
305,10,47,18,47,18,10,41,3,4653,27,0,13,31,male,1983-04-07
306,1,172,30,39,18,NULL,NULL,30,18451,247,65,114,96,male,1984-08-11
307,2,262,29,262,29,NULL,NULL,25,90,0,1,1,30,male,1990-06-01
308,2,100,11,100,11,17,49,,,0,3,1,0,male,1977-07-02
309,1,39,14,39,14,7,2,28,10062,218,23,71,100,male,1975-12-25
310,2,42,9,42,9,4,61,29,12356,0,68,3,33,female,1999-02-25
311,1,159,29,148,29,45,443,23,9247,20,20,37,52,male,1977-11-09
312,1,59,18,59,18,33,190,17,10024,205,67,76,100,male,1975-02-28
313,1,62,21,60,21,199,2930,25,13106,262,173,168,99,male,1978-06-01
314,1,28,16,28,16,14,101,19,12446,69,15,33,142,male,1988-02-25
315,1,42,9,42,9,NULL,NULL,,,25,0,1,26,male,1995-06-30
316,2,61,20,61,20,7,28,22,5902,0,4,7,16,female,1989-05-14
317,3,143,28,143,28,25,158,25,6212,65,39,71,51,male,1974-01-30
318,5,159,29,152,29,107,607,27,7065,19,54,66,173,male,1984-05-11
319,1,44,17,44,17,5,3,23,8853,119,148,147,120,male,1984-10-05
320,4,151,29,38,15,4,17,17,7935,36,19,16,40,female,1989-04-04
321,1,35,17,35,17,7,82,21,5928,50,2,1,65,male,1987-10-30
322,3,70,20,70,20,NULL,NULL,28,9505,56,25,52,100,male,1980-01-21
323,2,49,19,49,19,46,215,30,3385,195,18,17,94,female,1988-08-20
324,20,97,22,97,22,5,30,28,1476,6,5,3,2,female,1971-07-19
325,1,31,16,31,16,26,157,19,6196,1,17,35,14,male,1984-02-08
326,5,77,26,74,26,28,190,30,8296,30,36,59,114,male,1984-09-29
327,2,101,16,84,15,20,79,8,7618,45,22,43,13,male,1987-03-15
328,3,49,12,49,12,43,783,23,17679,127,48,58,79,male,1990-02-14
329,12,135,22,135,22,40,567,23,10195,91,31,55,115,male,1986-07-06
330,1,124,6,81,6,7,5,19,8196,151,17,64,118,male,1990-12-15
331,6,58,16,57,16,4,63,20,670,11,0,7,9,male,1973-04-03
332,1,64,17,46,17,49,529,28,9740,168,40,61,71,male,1953-10-05
333,2,71,19,58,19,11,36,28,15302,0,39,2,27,male,1983-12-03
334,6,150,25,150,25,51,725,24,6873,65,41,59,105,male,1957-03-27
335,5,63,8,20,7,5,17,25,199,2,0,4,14,female,1992-11-06
336,4,180,27,144,27,2,1,26,8945,158,31,111,117,male,1947-05-06
337,3,70,19,70,19,34,374,24,9374,279,53,73,85,male,1976-08-30
338,3,93,22,93,22,34,273,23,6410,79,26,52,113,male,1987-03-05
339,12,165,24,165,24,88,1155,29,7323,87,41,74,142,male,1967-01-24
340,2,73,15,70,15,NULL,NULL,,,132,0,2,20,male,1984-10-04
341,2,42,14,37,14,116,1455,28,8904,19,22,9,97,female,1974-04-29
342,3,59,13,58,13,13,203,5,2157,0,1,12,1,male,1989-05-13
343,3,212,26,202,26,NULL,NULL,,,0,1,1,0,female,1977-01-21
344,1,64,3,12,3,75,445,23,2139,29,120,48,183,male,1975-10-24
345,8,172,27,172,27,40,527,28,5030,177,27,11,82,male,1977-01-13
346,5,85,15,85,15,272,2067,26,13562,158,571,449,117,male,1950-12-16
347,2,52,16,43,16,28,174,23,4893,185,8,49,39,male,1995-03-31
348,13,84,22,84,22,91,849,22,15269,12,83,169,68,male,1969-01-26
349,6,278,22,251,22,NULL,NULL,4,1686,44,0,73,8,male,1985-05-15
350,1,187,15,143,15,104,418,20,5609,55,34,33,80,female,1985-03-27
351,1,211,24,199,24,243,4888,20,5070,408,146,73,74,female,1992-11-06
352,7,158,29,153,29,16,113,1,1778,302,163,109,30,female,1951-09-01
353,1,338,30,338,30,125,2765,30,11053,153,214,182,120,male,1985-06-25
354,8,148,24,128,24,NULL,NULL,27,16890,332,68,127,84,male,1979-02-12
355,1,38,12,38,12,59,632,17,2700,49,39,52,63,female,1989-03-18
356,2,96,23,96,23,7,34,13,700,0,18,1,0,male,1995-03-20
357,15,124,17,124,17,NULL,NULL,21,1801,467,4,83,48,male,1975-07-21
358,2,87,25,82,25,55,484,18,4551,132,28,97,38,male,1957-03-20
359,3,28,9,28,9,1,7,22,9214,69,0,2,76,male,1969-02-09
360,7,218,28,202,28,5,10,28,10311,239,209,105,90,male,1976-06-19
361,3,124,27,124,27,NULL,NULL,,,288,0,1,57,female,1993-04-27
362,2,190,9,141,9,23,327,,,8,0,24,4,female,1978-01-16
